,Description,commenting,ogling,groping,cleaned_text
1791,I was called by these boys to go and join them.i was in my school uniform but that didnt stop them from caling me. quotwhats up cuty mind joining usquot,1,0,0,called boy go join school uniform didnt stop caling quotwhats cuty mind joining usquot
1792,A man followed her from station to her house.,0,0,0,man followed station house
1793,she got molested in the gym by his trainer.,0,0,1,got molested gym trainer
1794,"an aunty i know of, her chain and earrings were snatched near the sunday market.",0,0,0,aunty know chain earring snatched near sunday market
1795,"While walking down the streets of chandni chowk during afternoon , two men bumped into me and pinched my breasts and wer then making weird facial expressions .",0,1,1,walking street chandni chowk afternoon two men bumped pinched breast wer making weird facial expression
1796,"Catcalls, whistles",1,1,0,catcall whistle
1797,Passing comments and whistling,1,1,0,passing comment whistling
1798,I was being followed by 2 men on a bike till this location.,0,1,0,followed 2 men bike till location
1799,"A teenage girl in Muzafargarh, district of south Punjab, was raped and then strangulated to death by a relative, the local media reported.The two sisters were playing alone in their house while the father was away for work. The brotherinlaw of the brother of these girls came and asked them to accompany him to a nearby house. The girl was raped and later strangulated with a rope. The accused escaped from the scene along with the infant girl. The police recovered the infant girl and arrested the accused by registering a case.The family members of the girls and neighbors found the body of the rape victim.",0,0,0,teenage girl muzafargarh district south punjab raped strangulated death relative local medium reported two sister playing alone house father away work brotherinlaw brother girl came asked accompany nearby house girl raped later strangulated rope accused escaped scene along infant girl police recovered infant girl arrested accused registering case family member girl neighbor found body rape victim
1800,I feel scared at going to bhera enclave chowk alone at night.,0,0,0,feel scared going bhera enclave chowk alone night
1801,a girl was being teased by the gang of boys in the public vehicle. the people in the bus try to save the girl but those guys threatened other people by saying if they interfere or complain to anyone they will kill everyone so nobody took action.,1,0,1,girl teased gang boy public vehicle people bus try save girl guy threatened people saying interfere complain anyone kill everyone nobody took action
1802,While waiting for the bus in afternoon,1,0,0,waiting bus afternoon
1803,"we were walking with a friend towards olympic stage from ayany, some men were working in a building, they stopped and begun to stare at some lady infront of us.  One man catcalled her loudly but she did not notice.  The man said again quot yes the one holding a childquot  when she turned to look the man said quotmadam undafanya watu wasifanye kazi hapaquot meaning quot madam you are making people not to work herequot",1,1,0,walking friend towards olympic stage ayany men working building stopped begun stare lady infront u one man catcalled loudly not notice man said quot yes one holding childquot turned look man said quotmadam undafanya watu wasifanye kazi hapaquot meaning quot madam making people not work herequot
1804,i had a experience while travelling in train during night hours in reserved compartment boys getting in and out each station and showing facial expression.nowdays i am scared to travel in train.,0,0,0,experience travelling train night hour reserved compartment boy getting station showing facial expression nowdays scared travel train
1805,I was being stalked by two boys who after following me for about an hour tried to make conversation. On my refusal to talk to them they got hold of me. Luckily there were other people around.,0,0,1,stalked two boy following hour tried make conversation refusal talk got hold luckily people around
1806,followed by riksha driver who seemed drunk,0,0,0,followed riksha driver seemed drunk
1807,Indecent exposure,0,0,0,indecent exposure
1808,I was commented at,1,0,1,commented
1809,"I was in micro bus, it was pack I was standing so I gave my bag to an old man who was approximately(6065). When I was watching my bag I saw that old man touching the girls sensitive part who was sitting next to him.",0,0,1,micro bus pack standing gave bag old man approximately 6065 watching bag saw old man touching girl sensitive part sitting next
1810,while walking on the street,0,0,1,walking street
1811,some street boys comment bad words and try to touch.,1,0,1,street boy comment bad word try touch
1812,In spite of being and unknown person they click pictures without our permission in the afternoon.,0,0,0,spite unknown person click picture without permission afternoon
1813,misbehaved,0,0,1,misbehaved
1814,in night three guys assumed that i am involved me in business of prostitution and started misbehaving i called the police and latter they apologised.,0,0,0,night three guy assumed involved business prostitution started misbehaving called police latter apologised
1815,"Travelling by bus from Peddar Road to St Xavier's college. Was sitting on the ladies' seat, crowded bus, a man was pushing himself onto me so much so that I could feel his sexual organ on my arm.",0,0,1,travelling bus peddar road st xavier college sitting lady seat crowded bus man pushing onto much could feel sexual organ arm
1816,Robber entered house and robbed Rs 40 because he was interrupted,0,0,0,robber entered house robbed r 40 interrupted
1817,"There is this girl that is presumed to be mentally unstable  actually at times she is fine. On one fateful day, she went to the farm to do some workwhile at the farm she was armbushed by a guy from her quarter.She was brutally raped , got pregnant and till today the boy is no where to be found.",0,0,0,girl presumed mentally unstable actually time fine one fateful day went farm workwhile farm armbushed guy quarter brutally raped got pregnant till today boy no found
1818,"Was walking on the street, a guy stands leaning on the gate of his home and whistles and calls out to me the whole time I cross his home.I take that road daily, except Sunday, to go to music classes.This went on for a month and I finally quit music classes.I was 13 then.",1,1,0,walking street guy stand leaning gate home whistle call whole time cross home take road daily except sunday go music class went month finally quit music class 13
1819,"I was sent to the shope to buy food ,on my way certain boys started calling me quotksii ksiiquot I dint look back but went away",0,0,0,sent shope buy food way certain boy started calling quotksii ksiiquot dint look back went away
1820,"It happened to someone I know, when she was coming to home from her office. The group of boys teased, followed and tried to touch her. She fought back to this incident.",1,0,1,happened someone know coming home office group boy teased followed tried touch fought back incident
1821,This survey is carried out by safecity (Red Dot Foundation) along with its safecity audit at street market in Mumbai.,0,0,0,survey carried safecity red dot foundation along safecity audit street market mumbai
1822,"This incident happened with a couple walking down the lane, the girl was with her husband and was groped by some guys standing nearby.",1,0,0,incident happened couple walking lane girl husband groped guy standing nearby
1823,It happened in the afternoon in the Erickshaw.It was very uncomfortable for me and people around me were oblivious to it.,1,1,1,happened afternoon erickshaw uncomfortable people around oblivious
1824,Staring. Singing songs purposely.Following to some distance.,1,0,0,staring singing song purposely following distance
1825,A minor tribal girl was raped by few men and was dumped.,0,0,0,minor tribal girl raped men dumped
1826,ogling and catcalling,0,1,0,ogling catcalling
1827,physical abuse in a public vehicle by touching my front part of body. i immediately threw his hands off and he seems drunk too.,0,0,1,physical abuse public vehicle touching front part body immediately threw hand seems drunk
1828,"me, my friend amp her sister were walking in a road in the evening just to get fresh air. suddenly two bikes passed away, hitting hard on the ass of my friends sister. the person sitting behind the bike did that .",0,0,1,friend amp sister walking road evening get fresh air suddenly two bike passed away hitting hard as friend sister person sitting behind bike
1829,followed home,0,0,0,followed home
1830,Poor street lightingevening 8 pm,0,0,0,poor street lightingevening 8 pm
1831,Feels unsafe due to poor lighting,0,0,0,feel unsafe due poor lighting
1832,This incident took place at rajiv chowk metro station on 24th dec 2014 in the evening.The guy was pinching me.,0,0,1,incident took place rajiv chowk metro station 24th dec 2014 evening guy pinching
1833,harassed in the evening,1,0,1,harassed evening
1834,"while crossing road, boys on motorbike shows ugly facial expression. at times they give flying kiss at times they wink. its really disturbing.",0,1,0,crossing road boy motorbike show ugly facial expression time give flying kiss time wink really disturbing
1835,One man dressed in a military uniform started following me from Panjim bus stand till Patto SBI ATM. He was passing comments and his facial expressions were weird and scary.,1,0,0,one man dressed military uniform started following panjim bus stand till patto sbi atm passing comment facial expression weird scary
1836,"When I was standing in bus stop, some unknown boys tried to take my picture.",0,0,0,standing bus stop unknown boy tried take picture
1837,"When walking here it gets dark at times in inner lanes, men keep commenting and will even find ways to touch you where they can",1,0,1,walking get dark time inner lane men keep commenting even find way touch
1838,"at the time of deepawali, my fren was returning home after playing deusi bhailo. on her way back one guy raped her and its becoz of poor street lights and no police bit and security",0,0,0,time deepawali fren returning home playing deusi bhailo way back one guy raped becoz poor street light no police bit security
1839,guys were passing verryyy cheap and bad comments.,1,0,0,guy passing verryyy cheap bad comment
1840,"People comments, trying to touch",1,0,1,people comment trying touch
1841,The boys started calling me while passing on the road,0,0,0,boy started calling passing road
1842,commenting,1,0,0,commenting
1843,while me and friend was shopping there was a guy who was taking my friend's picture.when i saw him i shouted at him but pretend as if he didn't do anything,0,0,0,friend shopping guy taking friend picture saw shouted pretend anything
1844,he asked me to come and greet him in his house where he tried to take advantage of me,0,0,0,asked come greet house tried take advantage
1845,commenting and ogling,1,0,0,commenting ogling
1846,"whenever i move outside my house, i spot the same guys standing near the corner of my street, they pass comments on me when i pass them. i don't know what to say to them because they are street buggers.",1,0,0,whenever move outside house spot guy standing near corner street pas comment pas know say street bugger
1847,"A man of age 40, followed me daily from my tuition class till my home. This incident took place 3 years ago when I was in the 11th standard. Later he started showing, exposing his private parts. I informed my father and police complaint was lodged. The bike number I noted was traced and address was found.",0,0,0,man age 40 followed daily tuition class till home incident took place 3 year ago 11th standard later started showing exposing private part informed father police complaint lodged bike number noted traced address found
1848,it was evening time when I was returning from office. some boys commented me about my dress.,1,0,0,evening time returning office boy commented dress
1849,This survey is carried out by safecity (Red Dot Foundation) along with its safecity audit at street market in Mumbai.,1,1,0,survey carried safecity red dot foundation along safecity audit street market mumbai
1850,my neighbor would follow me whenever i went to the toilet complex. I kept ignoring him. Then one day he just entered the women's toilet and started forcing himself on me. I pushed him and ran back home but i could never tell my parents about it or they would send me back to the village,0,0,1,neighbor would follow whenever went toilet complex kept ignoring one day entered woman toilet started forcing pushed ran back home could never tell parent would send back village
1851,calling a girl with vulgar languages and facial expressions.,1,1,1,calling girl vulgar language facial expression
1852,"i just came out of natures basket, and suddenly a guy saysquot chalo aapko ghar le jata hoonquot",1,0,0,came nature basket suddenly guy saysquot chalo aapko ghar le jata hoonquot
1853,trying to touch in different body parts and teasing in public areas,1,0,1,trying touch different body part teasing public area
1854,"when we were with group of girls, a group of boys teased us using slant language.",1,1,0,group girl group boy teased u using slant language
1855,harassment,0,0,1,harassment
1856,it was really bad.,1,1,0,really bad
1857,When I entered inside the college one of my class mate whistled at me.,0,0,0,entered inside college one class mate whistled
1858,"two girls followed by a guy riding a bike he was paaing all cheesy comments ,he  followed them all the way to their homes",1,0,0,two girl followed guy riding bike paaing cheesy comment followed way home
1859,A group of abused kids and woman living on the footpath controlled by males . They beg by day and by night.... The have been living and sleeping on the footpath for years. Also i wonder from which village this group was thrown out into the mean streets of mumbai,0,0,0,group abused kid woman living footpath controlled male beg day night living sleeping footpath year also wonder village group thrown mean street mumbai
1860,Thiefs came to a cite to steal at night in a particular room.So this lady heard noise in her neighbours room and started shouting.They thieves came to her room and kidnapped her.They brought her the next morning after she had been raped.,0,0,0,thief came cite steal night particular room lady heard noise neighbour room started shouting thief came room kidnapped brought next morning raped
1861,teacher beating pupils,0,0,0,teacher beating pupil
1862,There is always commenting when I travel out in night with my friends .,1,0,0,always commenting travel night friend
1863,"During evening , while walking I was commented quotchamak challoquot",1,0,0,evening walking commented quotchamak challoquot
1864,commenting and following,1,0,0,commenting following
1865,misbehaved,1,0,1,misbehaved
1866,A man started whistling and commenting as my friend and I were walking on the streets.,1,0,0,man started whistling commenting friend walking street
1867,facial expression was shown and he also took pictures of me,0,0,0,facial expression shown also took picture
1868,"Not for the first time two boys on a motorcycle rode past, passing very close saying 'Babe, looking hot today', near Banjara Hills Rd No. 1This has often happened to me while walking on roads in Hyderabad in the evenings.",0,0,0,not first time two boy motorcycle rode past passing close saying babe looking hot today near banjara hill rd no 1this often happened walking road hyderabad evening
1869,"When I visit my aunt's place at Wadala, a boy in the area harasses me in the form of kissing actions and whistles. This makes me feel scared and extremely unsafe to go there.",0,1,0,visit aunt place wadala boy area harasses form kissing action whistle make feel scared extremely unsafe go
1870,Chain Snatching,0,0,0,chain snatching
1871,treated badly,1,1,0,treated badly
1872,sexual invites,1,0,0,sexual invite
1873,"this incident occurred when i was in school,while returning from school one day,a guy in a bike started following me,all the way to my building.this started happening everyday,till i complained to my parents.",0,0,0,incident occurred school returning school one day guy bike started following way building started happening everyday till complained parent
1874,This survey is carried out by safecity (Red dot foundation) along with its safety audit at street markets in Mumbai.,1,1,1,survey carried safecity red dot foundation along safety audit street market mumbai
1875,nonsense guys following and trying to follow me.,1,0,0,nonsense guy following trying follow
1876,"On evening, my friend earnings were snatched there  and also threatned later she went to police station but in vain",0,0,0,evening friend earnings snatched also threatned later went police station vain
1877,at night outside grant road station,0,0,0,night outside grant road station
1878,"some boys of that gairidhara area whistles, follows and try blocking my way. i feel very scared to walk that area. i think the place from alice restaurant to chinese embassy is unsafe for girls to walk during evening. we need more street lights n police security at that place.",1,0,0,boy gairidhara area whistle follows try blocking way feel scared walk area think place alice restaurant chinese embassy unsafe girl walk evening need street light n police security place
1879,some boys on street tried to touch my friend when she was alone..,0,0,1,boy street tried touch friend alone
1880,i had gone to the temple with my sister on a festival. it was really crowded. a man touched my breasts inappropriately. he was much older. i was disgusted,0,0,1,gone temple sister festival really crowded man touched breast inappropriately much older disgusted
1881,"The incident happened to my teacher named Ms Minakshi that one teacher from my school only raped her and later on he blackmailed her and demand Rs50,000 from her.",0,0,0,incident happened teacher named m minakshi one teacher school raped later blackmailed demand rs50 000
1882,The guy was standing next to me and he was sexually excited . It happened while I was travelling in a bus during afternoon .,0,0,1,guy standing next sexually excited happened travelling bus afternoon
1883,"I was walking with my friends , when few guys started teasing us . It happened during afternoon .",1,0,0,walking friend guy started teasing u happened afternoon
1884,"I was standing in line, I was groped from behind at the IPU canteen.",1,0,1,standing line groped behind ipu canteen
1885,i am actually used to it now while coming back from office everyday.,1,1,0,actually used coming back office everyday
1886,i hired a cab and the driver tried to touch me,0,0,1,hired cab driver tried touch
1887,"I was followed from the metro station by a guy on the bike, I pretended to be on the phone",0,0,0,followed metro station guy bike pretended phone
1888,A man was ogling at a girl and touching his private parts just to have attention but it was a disturbing sight.,0,1,0,man ogling girl touching private part attention disturbing sight
1889,a man touched my upper parts,0,0,1,man touched upper part
1890,"My father treated me very badly in our native place, he beat me everytime. My mother and her brother had to call the police to stop this.",0,0,0,father treated badly native place beat everytime mother brother call police stop
1891,"So the incident happened in  broad daylight.te assaulter was one of our family acquaintance and I had been to his place for some exchange of books. Little did I know about his intentions back then. I was offered a glass of water by him and then I remember being too shock to speak out.he went on to open my clothes and suffice his hunger for sex.i still wonder what had happened to me at that moment that I couldn't shout or resist to what was happening.i remember being in pain. Having never experienced any thing like that before I went into shock.i felt the pain he was inflicting in me..tears were coming out but I couldn't shout. It may have been the water which he could have used to drug me..or it could be my innocence or lack of exposure to such animals ,for i was only 16,that  I didn't do anything to defend myself.i regret it.",0,0,0,incident happened broad daylight te assaulter one family acquaintance place exchange book little know intention back offered glass water remember shock speak went open clothes suffice hunger sex still wonder happened moment shout resist happening remember pain never experienced thing like went shock felt pain inflicting tear coming shout may water could used drug could innocence lack exposure animal 16 anything defend regret
1892,in bus.,1,0,0,bus
1893,"I was returning home from my tution classes. Two boys came in bike and hit me in my chest really hard. I shouted at them while they drove away. Since there was none around, I walked fast and they again came. I was so afraid but then I met an elderly woman and asked for her help.Later, the boys ran away.",1,0,1,returning home tution class two boy came bike hit chest really hard shouted drove away since none around walked fast came afraid met elderly woman asked help later boy ran away
1894,"Street sexual harassment. As I was walking on the street, I saw a girl who got harassed by her boyfriend sexually.Firstly,the girl was with another boy and her boyfriend saw her and harassed her sexually.After that, they got into a fight and later was taken to the police office for questions.",0,0,0,street sexual harassment walking street saw girl got harassed boyfriend sexually firstly girl another boy boyfriend saw harassed sexually got fight later taken police office question
1895,when i was going to buy cd some people were asking about my home and trying to make me afraid. when i walked from cd shop those guy start following me and i have to hide from them so i took some narrow path and escape from them.,0,0,0,going buy cd people asking home trying make afraid walked cd shop guy start following hide took narrow path escape
1896,She was walking in the streets at night and all of a sudden a group of boys just came in front of her and were struggling to harass her but help came and so she was saved for the main time,0,1,0,walking street night sudden group boy came front struggling harass help came saved main time
1897,"I was walking alone in the street of Balkumari, Kharibot. Group of boys sitting near by started to sing a song and whistled me.",1,0,0,walking alone street balkumari kharibot group boy sitting near started sing song whistled
1898,"Was riding my scooter back from office at around 8.30/9 pm, right breast was grabbed by a guy on a motorbike from the opposite direction just a few hundred meters before the entrance to Satyam Theatre in Chennai. At the point where the lane connecting Mount Road to the Whites Road.",1,0,1,riding scooter back office around 8 30 9 pm right breast grabbed guy motorbike opposite direction hundred meter entrance satyam theatre chennai point lane connecting mount road white road
1899,My project manager has been harassing me repeatedly with sexual invites and immodest talks.,0,0,0,project manager harassing repeatedly sexual invite immodest talk
1900,lonely roads,0,0,0,lonely road
1901,"i was standing at the bus stop, two boys came and started teasing me,,, they do put racist remark on me..",1,1,0,standing bus stop two boy came started teasing put racist remark
1902,Group of boys passing by on bikes passed comments and indecent exposure.It happened in the evening.,1,0,0,group boy passing bike passed comment indecent exposure happened evening
1903,He is my boss and Facebook friend. He send me vulgar messages and comments unnecessary things.,1,0,0,bos facebook friend send vulgar message comment unnecessary thing
1904,teasing girls and passing comments,1,0,0,teasing girl passing comment
1905,Two guys came and stood near me and started passing cheap comments like 'free ho' and 'naam to bataado' Took place 3 months back in the evening at around 67 pm.,1,0,0,two guy came stood near started passing cheap comment like free ho naam bataado took place 3 month back evening around 67 pm
1906,My girlfriend went out at night to buy bread and indomie.she came back looking so sad.when i inquired she told me some guys harassed her. I went to caution the guys but i was threatened. Kindly help us put a stop to this.its too frequent in this area.,0,0,1,girlfriend went night buy bread indomie came back looking sad inquired told guy harassed went caution guy threatened kindly help u put stop frequent area
1907,"While i was waiting for my metro, a guy started commenting about me to his friend which made me very uncomfortable.",1,0,0,waiting metro guy started commenting friend made uncomfortable
1908,There is hardly any light on the road and almost all of the street lights are broken. There are often drunken guys walking on the road. Very unsafe.,0,0,0,hardly light road almost street light broken often drunken guy walking road unsafe
1909,"My 7 years old daughter goes to school in her school bus and because of the current Indian blockade and fuel crisis the school has been hiring a different vehicle from different place,my duaghter insisted she doesn't want to go to school in that new bus, I asked her why and she told me that she is touched on her private parts by the new bus conductor,then I went and complained this to Principal of the school.Its not safe to send our daughters in the school bus,its so frustrating....",0,0,1,7 year old daughter go school school bus current indian blockade fuel crisis school hiring different vehicle different place duaghter insisted want go school new bus asked told touched private part new bus conductor went complained principal school not safe send daughter school bus frustrating
1910,"I was heading home and I realised two men were following me. When I turned back, they suddenly turned back pretending they werent following me",0,0,0,heading home realised two men following turned back suddenly turned back pretending werent following
1911,"Narrow bridge on the parel station, heavy crowd trying to climb up/down provides a merry ground for stalkers/eve teasers.",1,1,1,narrow bridge parel station heavy crowd trying climb provides merry ground stalker eve teaser
1912,got commented at while travelling in a bus,1,0,0,got commented travelling bus
1913,he just commented and then disappeared.,1,0,0,commented disappeared
1914,A guy riding a bike stopped near by and started commenting and asked for lift and all.,1,0,0,guy riding bike stopped near started commenting asked lift
1915,eve teasing,0,0,1,eve teasing
1916,Harassed on the dtc bus,1,1,1,harassed dtc bus
1917,harassment,0,0,0,harassment
1918,"When i was travelling in bus in the morning,some boys commented on me and sang a song.",1,1,0,travelling bus morning boy commented sang song
1919,My cousin sister was sexually abused by her father once when he was drunk. I have faced eve teasing in my locality during dahihandi festival.,0,0,0,cousin sister sexually abused father drunk faced eve teasing locality dahihandi festival
1920,I was standing normally he was groping my back.,0,0,1,standing normally groping back
1921,"My friend came home and noticing that no one is around, he tried to forcefully kiss me and touch me inappropriately.",0,0,1,friend came home noticing no one around tried forcefully kiss touch inappropriately
1922,"I've been teased in this area by some goons at night, whistling and shouting names at me.",1,0,0,teased area goon night whistling shouting name
1923,have beed touched,0,1,1,beed touched
1924,cat call everytime women pass.Accelerate the bike and scream.,1,1,0,cat call everytime woman pas accelerate bike scream
1925,when i was going to old delhi railway station unfortunately i went from gate no 5 instead of gate no 3 so i thought to keep on walking so a guy passed a very offending comment on me,1,0,0,going old delhi railway station unfortunately went gate no 5 instead gate no 3 thought keep walking guy passed offending comment
1926,happened in evening,1,0,0,happened evening
1927,We were travelling to goa for school trip by train.There was a guy standing near the door showing off his private parts.,1,0,1,travelling goa school trip train guy standing near door showing private part
1928,My flatmate was coming back from Amity University by Ola. The driver switched off his phone and and started navigating on a different route. He was trying to take her off to a malicious route but she jumped off the cab.,0,0,0,flatmate coming back amity university ola driver switched phone started navigating different route trying take malicious route jumped cab
1929,My friend was harassed with whistles by a man.,0,0,0,friend harassed whistle man
1930,"I WAS STANDING AT THE BUS STOP WAITING FOR A BUS. A BOY WAS STANDING NEAR ME. A FEW SECONDS LATER HE STARTED STARING AT ME AND THEN STARTED COMMENTING. IN THE MEANWHILE A FEW SECONDS LATER, MY BUS ARRIVED AND I WENT INTO THE BUS.",1,1,0,standing bus stop waiting bus boy standing near second later started staring started commenting meanwhile second later bus arrived went bus
1931,A guy followed us around khan market from one shop to the other and then to the parking lot. We had to tell the police officer.,0,0,0,guy followed u around khan market one shop parking lot tell police officer
1932,a guy touched me and i became freeze,1,0,1,guy touched became freeze
1933,"I was travelling by train from Delhi to Bhopal. One guy was sitting on the upper berth and gave me indecent looks, was whistling and making faces.",1,1,0,travelling train delhi bhopal one guy sitting upper berth gave indecent look whistling making face
1934,"one night when my friend was sleeping, a man broke into the house and tried to rape her. She tried fighting back but the man ended up stabbing her and raped her",0,0,0,one night friend sleeping man broke house tried rape tried fighting back man ended stabbing raped
1935,I was walking out of the mall with my friend and a man sitting on a bike talking to someone or pretending to talk to someone kept staring at me inappropriately.  It was a disgusting feeling.,0,1,0,walking mall friend man sitting bike talking someone pretending talk someone kept staring inappropriately disgusting feeling
1936,a boy tried to touch me.,1,1,1,boy tried touch
1937,I get scared to take the skywalk. It is not very crowded as people avoid climbing the stairs. Drug addicts or drunks are seen lingering on the sky walk.,0,0,0,get scared take skywalk not crowded people avoid climbing stair drug addict drunk seen lingering sky walk
1938,I was commented at and touched/groped,1,0,1,commented touched groped
1939,physical touch on the way back home by bus,0,0,1,physical touch way back home bus
1940,"I witnessed an incident of staring . When I was out with my friend during afternoon , people were continuously staring at her legs as she was wearing shorts .",0,1,0,witnessed incident staring friend afternoon people continuously staring leg wearing short
1941,"Touching, groping",0,0,1,touching groping
1942,a man would stalk me from the market to my house in the evening and insist on being friends with me. he was way older to me and all of this scared me. this mostly happened when i would be returning from the wednesday market,0,0,0,man would stalk market house evening insist friend way older scared mostly happened would returning wednesday market
1943,on the road side i was followed by a group of guys .they were teasing and commenting.,1,0,0,road side followed group guy teasing commenting
1944,commenting and pictures taken in the night.,1,0,0,commenting picture taken night
1945,She was touched at private parts by her dance partner.,0,0,1,touched private part dance partner
1946,harassment,1,1,0,harassment
1947,Efteasers,1,0,0,efteasers
1948,I was at makina stage and two high school girls were walking from school to home a boy was running towards them and finally approached them and started talking to them but they did not want. He was insisting on touching their hands to talk to them but they walked faster and he gave up.,0,0,0,makina stage two high school girl walking school home boy running towards finally approached started talking not want insisting touching hand talk walked faster gave
1949,catcalls/whistles,0,0,0,catcall whistle
1950,Lewd comments at Vashi bus depot,1,0,1,lewd comment vashi bus depot
1951,"misbehaved,around 4.30",1,0,0,misbehaved around 4 30
1952,"he was a friend of mine, but not a boy friend.He invited me at a restaurant and we met over there and talked about several things...suddenly he said let's go there..I went with him asking what's there...he said I will show u let's go...he took me inside a guest house room which was the part of that restaurant.He opened all my clothes and forcefully started having sex with me.I felt very bad ...went back home and had so much trauma for few months couldnot share this to anyone...And After few months he gave my number to his friends saying that I will go with them as well to have sex.He tried to defame me.",0,0,0,friend mine not boy friend invited restaurant met talked several thing suddenly said let go went asking said show u let go took inside guest house room part restaurant opened clothes forcefully started sex felt bad went back home much trauma month couldnot share anyone month gave number friend saying go well sex tried defame
1953,"When walking here it gets dark at times in inner lanes, men keep commenting and will even find ways to touch you where they can",1,0,0,walking get dark time inner lane men keep commenting even find way touch
1954,Sexual Invites,1,0,0,sexual invite
1955,a group of girls were walking from school.  They passed a group of men seated by the road side who started whistling to the primary school girls,0,0,0,group girl walking school passed group men seated road side started whistling primary school girl
1956,"It happened at the road from the bus stop named 'Gulabi bagh' to lakshmi bai college,ashok vihar in the morning.At the roadsides,they call for sexual invites,quotvulgar activitiesquot.",1,1,0,happened road bus stop named gulabi bagh lakshmi bai college ashok vihar morning roadside call sexual invite quotvulgar activitiesquot
1957,Being a student she does feels safe at the station.,0,1,0,student feel safe station
1958,vikas puri One man was on bike and was commenting something amp was saying I love you amp all.,1,0,0,vikas puri one man bike commenting something amp saying love amp
1959,"While waiting to get on the train an Indian man walked towards me, as he passed me, without making eye contact he pinched me very hard on the thigh. He carried on walking without looking back and I was so shocked I just got on the train.",0,0,1,waiting get train indian man walked towards passed without making eye contact pinched hard thigh carried walking without looking back shocked got train
1960,she had been sent to the shop when two boys whistled at her and when she turned back they told her shes hot,1,0,0,sent shop two boy whistled turned back told shes hot
1961,it was really bad.,1,0,0,really bad
1962,My friend was touched on her private parts and apart from that many times have seen a man who stands near ladies compartment and when the train leaves he misbehaves with the one sitting near window or those who are running to catch the train,1,0,1,friend touched private part apart many time seen man stand near lady compartment train leaf misbehaves one sitting near window running catch train
1963,MY FRIENDS AND I WENT TO GIRGAON CHOWPATTY. WHILE WE WERE WALKING A GROUP OF BOYS WAS FOLLOWING. INITIALLY WE THOUGHT IT WAS COINCIDENCE BUT SOON REALISED THAT THEY WERE FOLLOWING US SO WE ALL DECIDED TO CHANGE OUR ROUTE.,0,0,0,friend went girgaon chowpatty walking group boy following initially thought coincidence soon realised following u decided change route
1964,One man came and invited me for sex.,1,1,0,one man came invited sex
1965,"while i was going back to my place, one of the boy started following me which scared me a lot.",0,0,0,going back place one boy started following scared lot
1966,"I was attacked by a 4 member gang in BMTC bus, at 9.00AM morning. And they tried to take my laptop, luckily I got that back as I pulled strongly. But they took my newly bought mobile.You are not safe in bangalore.Be carefull!!  No one will help you.",0,0,0,attacked 4 member gang bmtc bus 9 00am morning tried take laptop luckily got back pulled strongly took newly bought mobile not safe bangalore carefull no one help
1967,"A man touched a lady's breasts while crossing a drainage, the lady shouted and the men who were near y clicked and asked her quotwhy are you shouting? What don't you know?quot  the lady just continued with her journey but very embarrassed.",0,0,1,man touched lady breast crossing drainage lady shouted men near clicked asked quotwhy shouting know quot lady continued journey embarrassed
1968,we went trinity and the boys of there are so cheap.,1,0,0,went trinity boy cheap
1969,Sexual invites while they were in car in pitampura(near VIPS),0,0,0,sexual invite car pitampura near vip
1970,They were followed from zakir hussain college to the metro station(new delhi).It happened on 26th September 2013 in the afternoon.,1,0,0,followed zakir hussain college metro station new delhi happened 26th september 2013 afternoon
1971,A bike followed me every time I go to nearby market and pass comments too.,1,0,0,bike followed every time go nearby market pas comment
1972,I lived in a quarter where a boy called Eyong came and harassed me almost everyday .This is because he wanted to sexually assault me .I was moving down the street one day where he met me and tried to undress me.I shouted and neighbours cameout and helped.,0,0,0,lived quarter boy called eyong came harassed almost everyday wanted sexually assault moving street one day met tried undress shouted neighbour cameout helped
1973,someone whistled at me,0,0,0,someone whistled
1974,"I am conducting a survey at Worli Naka. I feel unsafe while accessing this area. there are congested housing, narrow lanes, it is dark at all times, the men are on the streets and they comments on girls, i feet that they might just do something to me and no one would even come to know.",1,0,0,conducting survey worli naka feel unsafe accessing area congested housing narrow lane dark time men street comment girl foot might something no one would even come know
1975,I was pushed on the bus by two school boys who kept misbehaving with me,1,0,1,pushed bus two school boy kept misbehaving
1976,"During the Diwali, 1 of my uncles has sexually harassed his friend's daughter when they were sitting in the pandal. He made the girl sit next to him, he touched her as if he is loving her.",1,0,1,diwali 1 uncle sexually harassed friend daughter sitting pandal made girl sit next touched loving
1977,"I was going to my aunt's house to invite them for some function.On the way back home, I was teased by boys and I ran back to home.",1,0,0,going aunt house invite function way back home teased boy ran back home
1978,in the evening they touched and gave bad comments while going to the market,0,0,1,evening touched gave bad comment going market
1979,I was harassed at home for lies telling.This made me very angry.I never wanted to take laws into my own hands.I left everything to God and also prayed over it .This was on the 8th of January 2015.,1,0,0,harassed home lie telling made angry never wanted take law hand left everything god also prayed 8th january 2015
1980,Commenting at metro stations (uttam nagar to dwarka),1,0,0,commenting metro station uttam nagar dwarka
1981,A neighbour tried to kiss me and acted as though it was normal to do so,0,0,1,neighbour tried kiss acted though normal
1982,lonely roads,0,0,0,lonely road
1983,"It all happened visited his male friend at his house after church.They were friends you know but while they were together he started touching her and became very persistent ,then tried to grip her to the wall.She fought untill was given  certain wounds but lukily escaped.",1,0,0,happened visited male friend house church friend know together started touching became persistent tried grip wall fought untill given certain wound lukily escaped
1984,roadside people commenting on others,1,0,0,roadside people commenting others
